"County","city","DDP vote","KMT vote","valid vote"
"臺北市","　北投區",42687,56769,116446
"臺北市","　士林區",53823,62992,137009
"臺北市","　大同區",28385,24930,60643
"臺北市","　中山區",39176,49603,103589
"臺北市","　松山區",30622,50479,99029
"臺北市","　內湖區",36862,62132,118622
"臺北市","　南港區",17256,27244,52175
"臺北市","　萬華區",37330,47022,96894
"臺北市","　中正區",22471,39420,75150
"臺北市","　大安區",41650,77811,149110
"臺北市","　信義區",31925,59326,109461
"臺北市","　文山區",29387,69863,123554
"高雄市","　楠梓區",31032,36503,74762
"高雄市","　左營區",29008,45769,84026
"高雄市","　鼓山區",24114,27738,57901
"高雄市","　鹽埕區",7242,5823,14382
"高雄市","　旗津區",6653,5050,12687
"高雄市","　三民區",73885,70267,160939
"高雄市","　前金區",6389,6430,14470
"高雄市","　新興區",12158,12239,27540
"高雄市","　苓雅區",37014,41018,88161
"高雄市","　前鎮區",41999,39420,90499
"高雄市","　小港區",27959,27153,61376
"臺北縣","　石門鄉",1490,3125,5112
"臺北縣","　三芝鄉",2694,5432,9507
"臺北縣","　淡水鎮",19017,30867,57964
"臺北縣","　八里鄉",4975,7421,13899
"臺北縣","　林口鄉",9182,13376,25830
"臺北縣","　泰山鄉",11171,15845,30194
"臺北縣","　五股鄉",13113,15142,32293
"臺北縣","　蘆洲市",34206,35106,77681
"臺北縣","　三重市",80893,79047,178711
"臺北縣","　新莊市",68408,81233,166584
"臺北縣","　樹林市",27362,33566,67550
"臺北縣","　鶯歌鎮",13532,17371,34117
"臺北縣","　板橋市",91483,119117,239165
"臺北縣","　中和市",57120,109546,193858
"臺北縣","　永和市",26193,64446,109309
"臺北縣","　土城市",34037,50373,95209
"臺北縣","　三峽鎮",13102,18322,35326
"臺北縣","　新店市",32998,77743,136058
"臺北縣","　深坑鄉",3229,4844,9406
"臺北縣","　石碇鄉",1670,1462,3491
"臺北縣","　坪林鄉",1483,980,2722
"臺北縣","　烏來鄉",658,1416,2287
"臺北縣","　金山鄉",2896,4489,8349
"臺北縣","　萬里鄉",2552,4501,7876
"臺北縣","　汐止市",24976,40881,77551
"臺北縣","　平溪鄉",988,1124,2368
"臺北縣","　瑞芳鎮",5630,9631,17164
"臺北縣","　雙溪鄉",1515,2172,4122
"臺北縣","　貢寮鄉",2572,2072,5133
"宜蘭縣","　宜蘭市",14282,19074,37341
"宜蘭縣","　羅東鎮",12461,12852,27999
"宜蘭縣","　蘇澳鎮",7420,8012,17003
"宜蘭縣","　頭城鎮",3790,6984,11877
"宜蘭縣","　礁溪鄉",6351,6733,14378
"宜蘭縣","　壯圍鄉",4941,4337,10055
"宜蘭縣","　員山鄉",5858,5194,12288
"宜蘭縣","　冬山鄉",10431,7748,20055
"宜蘭縣","　五結鄉",7669,5972,15014
"宜蘭縣","　三星鄉",4359,3327,8553
"宜蘭縣","　大同鄉",254,1732,2165
"宜蘭縣","　南澳鄉",115,1894,2144
"桃園縣","　蘆竹鄉",18176,24608,48304
"桃園縣","　龜山鄉",17151,28964,51812
"桃園縣","　桃園市",51650,85095,154642
"桃園縣","　大園鄉",12078,14869,29916
"桃園縣","　觀音鄉",10875,9905,23207
"桃園縣","　新屋鄉",8586,10013,20896
"桃園縣","　楊梅鎮",15370,33451,54975
"桃園縣","　中壢市",42742,93186,153452
"桃園縣","　平鎮市",22640,48827,80383
"桃園縣","　龍潭鄉",11222,28082,45105
"桃園縣","　八德市",20036,42511,69421
"桃園縣","　大溪鎮",13704,18533,36096
"桃園縣","　復興鄉",667,2661,3641
"新竹縣","　竹北市",11663,29484,47280
"新竹縣","　竹東鎮",6211,27364,37915
"新竹縣","　新埔鎮",3886,9349,15097
"新竹縣","　關西鎮",3136,8876,13689
"新竹縣","　湖口鄉",5462,20290,28938
"新竹縣","　新豐鄉",4318,12642,18918
"新竹縣","　芎林鄉",1694,6195,8915
"新竹縣","　橫山鄉",1063,4776,6544
"新竹縣","　北埔鄉",874,3016,4538
"新竹縣","　寶山鄉",1255,3920,5892
"新竹縣","　峨眉鄉",833,1706,2871
"新竹縣","　尖石鄉",348,2391,2957
"新竹縣","　五峰鄉",174,1320,1590
"苗栗縣","　竹南鎮",9360,17629,29948
"苗栗縣","　造橋鄉",1233,4309,6122
"苗栗縣","　後龍鎮",5055,9690,16305
"苗栗縣","　西湖鄉",691,2840,3899
"苗栗縣","　通霄鎮",6708,8905,17082
"苗栗縣","　銅鑼鄉",1419,5933,8073
"苗栗縣","　苑裡鎮",9057,9219,20080
"苗栗縣","　三義鄉",1635,5530,7906
"苗栗縣","　頭份鎮",6760,27921,38972
"苗栗縣","　三灣鄉",667,2395,3514
"苗栗縣","　南庄鄉",777,3432,4749
"苗栗縣","　苗栗市",7417,27710,38942
"苗栗縣","　頭屋鄉",1013,4048,5555
"苗栗縣","　獅潭鄉",443,1842,2541
"苗栗縣","　公館鄉",3101,9738,14349
"苗栗縣","　大湖鄉",1400,4802,6968
"苗栗縣","　泰安鄉",238,2191,2648
"苗栗縣","　卓蘭鎮",3018,4547,8607
"臺中縣","　大甲鎮",11170,16607,31002
"臺中縣","　大安鄉",3089,4872,8835
"臺中縣","　外埔鄉",3759,7755,12770
"臺中縣","　清水鎮",14529,18534,36942
"臺中縣","　梧棲鎮",7363,10703,20034
"臺中縣","　沙鹿鎮",10048,17422,31022
"臺中縣","　龍井鄉",9390,14784,27470
"臺中縣","　大肚鄉",7628,12728,22831
"臺中縣","　烏日鄉",10058,14543,27506
"臺中縣","　霧峰鄉",9118,13917,25773
"臺中縣","　大里市",28449,37695,74218
"臺中縣","　太平市",24728,36379,68675
"臺中縣","　豐原市",25360,32177,64769
"臺中縣","　石岡鄉",1969,3893,6530
"臺中縣","　新社鄉",3635,5763,10502
"臺中縣","　東勢鎮",6387,12378,21330
"臺中縣","　和平鄉",712,3207,4334
"臺中縣","　后里鄉",8307,12641,23530
"臺中縣","　神岡鄉",11414,12088,26134
"臺中縣","　大雅鄉",11414,18964,34177
"臺中縣","　潭子鄉",15246,20967,40467
"彰化縣","　伸港鄉",4840,8852,15505
"彰化縣","　線西鄉",1985,4738,7676
"彰化縣","　和美鎮",13659,22303,40769
"彰化縣","　鹿港鎮",15929,19045,39956
"彰化縣","　褔興鄉",8910,11233,23411
"彰化縣","　秀水鄉",6747,9170,18074
"彰化縣","　彰化市",34651,53836,98768
"彰化縣","　花壇鄉",6245,11161,19280
"彰化縣","　芬園鄉",4422,5436,10847
"彰化縣","　芳苑鄉",5874,7312,14777
"彰化縣","　二林鎮",7168,13932,23785
"彰化縣","　埔鹽鄉",4598,8783,15161
"彰化縣","　溪湖鎮",8335,12941,24398
"彰化縣","　埔心鄉",5840,7046,14459
"彰化縣","　大城鄉",2239,4515,7423
"彰化縣","　竹塘鄉",3026,3073,6816
"彰化縣","　埤頭鄉",4885,6042,12370
"彰化縣","　北斗鎮",5124,6991,13473
"彰化縣","　溪州鄉",5922,5664,13166
"彰化縣","　大村鄉",5314,8290,15163
"彰化縣","　員林鎮",18267,29139,53159
"彰化縣","　永靖鄉",6054,8982,16872
"彰化縣","　社頭鄉",7395,10410,20093
"彰化縣","　田尾鄉",4342,6376,12045
"彰化縣","　田中鎮",6863,10490,19231
"彰化縣","　二水鄉",3341,4084,8282
"南投縣","　草屯鎮",12813,23813,40800
"南投縣","　國姓鄉",1956,5099,7865
"南投縣","　埔里鎮",9287,19507,32200
"南投縣","　仁愛鄉",412,5004,5832
"南投縣","　中寮鄉",2298,3732,6741
"南投縣","　魚池鄉",2153,3430,6257
"南投縣","　南投市",13088,25385,42694
"南投縣","　名間鄉",6887,7729,16272
"南投縣","　集集鎮",1648,2917,5094
"南投縣","　竹山鎮",8981,11405,22684
"南投縣","　鹿谷鄉",2659,4408,7904
"南投縣","　水里鄉",2672,4560,8058
"南投縣","　信義鄉",1165,4068,5785
"雲林縣","　麥寮鄉",3983,7926,13399
"雲林縣","　臺西鄉",3195,7097,11541
"雲林縣","　東勢鄉",2805,3830,7495
"雲林縣","　褒忠鄉",2556,3198,6706
"雲林縣","　土庫鎮",5137,5727,13317
"雲林縣","　虎尾鎮",10149,14056,27888
