"County","city","DDP vote","KMT vote","PFP vote","valid vote"
"苗栗縣","　苗栗市","20,569","30,335","2,366","53,270"
"苗栗縣","　苑裡鎮","16,758","9,349","1,231","27,338"
"苗栗縣","　通霄鎮","11,395","7,952","893","20,240"
"苗栗縣","　竹南鎮","25,639","21,395","2,718","49,752"
"苗栗縣","　頭份市","24,811","32,116","3,126","60,053"
"苗栗縣","　後龍鎮","10,834","9,175","851","20,860"
"苗栗縣","　卓蘭鎮","5,486","4,363","416","10,265"
"苗栗縣","　大湖鄉","3,099","5,103","298","8,500"
"苗栗縣","　公館鄉","8,133","11,043","938","20,114"
"苗栗縣","　銅鑼鄉","4,114","6,292","451","10,857"
"苗栗縣","　南庄鄉","1,829","3,744","230","5,803"
"苗栗縣","　頭屋鄉","2,542","3,971","278","6,791"
"苗栗縣","　三義鄉","3,972","5,756","476","10,204"
"苗栗縣","　西湖鄉","1,502","2,618","217","4,337"
"苗栗縣","　造橋鄉","3,195","4,180","368","7,743"
"苗栗縣","　三灣鄉","1,520","2,473","179","4,172"
"苗栗縣","　獅潭鄉","864","1,737","84","2,685"
"苗栗縣","　泰安鄉","772","2,743","102","3,617"
"桃園市","　桃園區","146,904","102,460","12,661","262,025"
"桃園市","　中壢區","126,600","107,499","11,902","246,001"
"桃園市","　大溪區","32,801","21,126","2,393","56,320"
"桃園市","　楊梅區","51,449","42,840","4,906","99,195"
"桃園市","　蘆竹區","55,967","33,227","4,593","93,787"
"桃園市","　大園區","33,375","18,096","2,594","54,065"
"桃園市","　龜山區","54,130","35,968","4,810","94,908"
"桃園市","　八德區","64,446","50,043","5,630","120,119"
"桃園市","　龍潭區","35,605","34,250","3,468","73,323"
"桃園市","　平鎮區","71,172","57,200","6,637","135,009"
"桃園市","　新屋區","18,437","10,891","1,392","30,720"
"桃園市","　觀音區","25,336","12,106","1,913","39,355"
"桃園市","　復興區","2,038","4,043","233","6,314"
"宜蘭縣","　宜蘭市","33,814","20,740","2,432","56,986"
"宜蘭縣","　羅東鎮","26,724","13,383","1,582","41,689"
"宜蘭縣","　蘇澳鎮","15,140","7,667","952","23,759"
"宜蘭縣","　頭城鎮","9,523","6,569","812","16,904"
"宜蘭縣","　礁溪鄉","14,094","6,972","896","21,962"
"宜蘭縣","　壯圍鄉","10,223","4,348","575","15,146"
"宜蘭縣","　員山鄉","13,350","5,747","726","19,823"
"宜蘭縣","　冬山鄉","23,321","8,630","1,179","33,130"
"宜蘭縣","　五結鄉","17,481","6,897","866","25,244"
"宜蘭縣","　三星鄉","8,825","3,853","515","13,193"
"宜蘭縣","　大同鄉","692","2,568","128","3,388"
"宜蘭縣","　南澳鄉","470","2,636","76","3,182"
"連江縣","　南竿鄉","784","2,875","114","3,773"
"連江縣","　北竿鄉","201","883","25","1,109"
"連江縣","　莒光鄉","105","513","14","632"
"連江縣","　東引鄉","136","505","35","676"
"臺東縣","　臺東市","24,898","31,473","2,201","58,572"
"臺東縣","　成功鎮","1,936","4,677","212","6,825"
"臺東縣","　關山鎮","1,764","2,662","173","4,599"
"臺東縣","　卑南鄉","3,962","5,338","331","9,631"
"臺東縣","　鹿野鄉","1,755","2,240","128","4,123"
"臺東縣","　池上鄉","1,768","2,213","149","4,130"
"臺東縣","　東河鄉","1,321","2,664","157","4,142"
"臺東縣","　長濱鄉","1,010","2,307","106","3,423"
"臺東縣","　太麻里鄉","2,278","3,632","196","6,106"
"臺東縣","　大武鄉","855","1,928","75","2,858"
"臺東縣","　綠島鄉","527","1,189","49","1,765"
"臺東縣","　海端鄉","397","1,439","63","1,899"
"臺東縣","　延平鄉","406","1,348","49","1,803"
"臺東縣","　金峰鄉","341","1,785","58","2,184"
"臺東縣","　達仁鄉","352","1,510","61","1,923"
"臺東縣","　蘭嶼鄉","522","1,008","155","1,685"
"臺南市","　新營區","28,969","15,517","1,720","46,206"
"臺南市","　鹽水區","11,099","4,021","427","15,547"
"臺南市","　白河區","11,831","4,611","454","16,896"
"臺南市","　柳營區","9,457","3,578","487","13,522"
"臺南市","　後壁區","10,335","3,822","447","14,604"
"臺南市","　東山區","7,940","3,638","356","11,934"
"臺南市","　麻豆區","21,670","5,883","767","28,320"
"臺南市","　下營區","10,333","3,987","434","14,754"
"臺南市","　六甲區","9,686","3,243","442","13,371"
"臺南市","　官田區","10,140","3,186","384","13,710"
"臺南市","　大內區","4,249","1,643","192","6,084"
"臺南市","　佳里區","26,071","9,486","1,171","36,728"
"臺南市","　學甲區","11,857","3,581","446","15,884"
"臺南市","　西港區","11,836","3,445","452","15,733"
"臺南市","　七股區","10,229","3,173","397","13,799"
"臺南市","　將軍區","9,156","2,525","274","11,955"
"臺南市","　北門區","4,583","1,688","147","6,418"
"臺南市","　新化區","18,092","8,446","1,000","27,538"
"臺南市","　善化區","21,514","7,582","1,021","30,117"
"臺南市","　新市區","16,535","5,612","774","22,921"
"臺南市","　安定區","13,995","4,706","600","19,301"
"臺南市","　山上區","3,148","1,285","139","4,572"
"臺南市","　玉井區","4,645","3,452","280","8,377"
"臺南市","　楠西區","2,725","2,769","167","5,661"
"臺南市","　南化區","2,897","2,136","162","5,195"
"臺南市","　左鎮區","1,861","927","70","2,858"
"臺南市","　仁德區","32,224","14,785","1,836","48,845"
"臺南市","　歸仁區","30,450","11,285","1,455","43,190"
"臺南市","　關廟區","15,780","6,082","729","22,591"
"臺南市","　龍崎區","1,693","876","96","2,665"
"臺南市","　永康區","93,745","44,565","5,562","143,872"
"臺南市","　東區","69,040","41,044","4,461","114,545"
"臺南市","　南區","55,076","23,551","2,790","81,417"
"臺南市","　北區","51,932","26,684","3,215","81,831"
"臺南市","　安南區","84,284","29,236","4,307","117,827"
"臺南市","　安平區","26,062","12,944","1,523","40,529"
"臺南市","　中西區","31,332","14,708","1,891","47,931"
"臺北市","　松山區","64,207","55,918","5,436","125,561"
"臺北市","　信義區","70,285","62,353","5,878","138,516"
"臺北市","　大安區","88,977","85,490","7,534","182,001"
"臺北市","　中山區","79,022","56,491","6,367","141,880"
"臺北市","　中正區","48,183","41,461","4,188","93,832"
"臺北市","　大同區","50,006","24,673","3,463","78,142"
"臺北市","　萬華區","66,866","46,700","5,008","118,574"
"臺北市","　文山區","78,129","82,305","7,502","167,936"
"臺北市","　南港區","40,969","30,968","3,409","75,346"
"臺北市","　內湖區","94,269","74,437","8,356","177,062"
"臺北市","　士林區","104,881","65,183","7,185","177,249"
"臺北市","　北投區","90,060","59,851","6,443","156,354"
"臺中市","　中區","5,793","3,823","442","10,058"
"臺中市","　東區","28,114","17,435","2,251","47,800"
"臺中市","　南區","44,098","29,485","4,025","77,608"
"臺中市","　西區","39,708","26,998","3,366","70,072"
"臺中市","　北區","49,011","37,248","4,341","90,600"
"臺中市","　西屯區","74,475","54,982","6,950","136,407"
"臺中市","　南屯區","57,752","39,433","5,261","102,446"
"臺中市","　北屯區","92,862","69,589","8,468","170,919"
"臺中市","　豐原區","61,642","36,221","4,940","102,803"
"臺中市","　東勢區","15,345","14,329","1,337","31,011"
"臺中市","　大甲區","26,632","16,136","2,179","44,947"
"臺中市","　清水區","31,871","17,746","2,497","52,114"
"臺中市","　沙鹿區","32,197","20,587","3,176","55,960"
"臺中市","　梧棲區","20,702","11,715","1,723","34,140"
"臺中市","　后里區","19,004","12,882","1,716","33,602"
"臺中市","　神岡區","25,843","13,290","1,930","41,063"
"臺中市","　潭子區","38,953","24,947","3,424","67,324"
"臺中市","　大雅區","32,792","21,934","2,881","57,607"
"臺中市","　新社區","8,231","6,290","668","15,189"
"臺中市","　石岡區","4,938","4,052","444","9,434"
"臺中市","　外埔區","10,530","7,955","961","19,446"
"臺中市","　大安區","6,885","4,237","498","11,620"
"臺中市","　烏日區","26,838","17,101","2,378","46,317"
"臺中市","　大肚區","19,932","13,345","1,842","35,119"
"臺中市","　龍井區","27,181","16,827","2,487","46,495"
"臺中市","　霧峰區","23,180","15,587","2,132","40,899"
"臺中市","　太平區","65,743","43,313","5,708","114,764"
"臺中市","　大里區","74,935","44,782","6,541","126,258"
"臺中市","　和平區","2,117","4,097","234","6,448"
"新竹縣","　竹北市","56,892","42,591","6,576","106,059"
"新竹縣","　竹東鎮","23,445","29,892","3,202","56,539"
